Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
0e8af59f-6a2c-4409-8dbb-79195a58bcb8,"2020-06-14, 01:59:24 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,82.158.133.79
71403509-9b5b-422c-976c-0759d87e3327,"2020-06-14, 01:58:22 PM",Accountant,ConsoleLogin,,,,us-east-1,,82.158.133.79
09707033-21fc-462a-9100-552b8415f267,"2020-06-14, 01:57:27 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,82.158.133.79
3719ec64-e223-4e30-afed-0e8fa5f2e34b,"2020-06-14, 01:56:27 PM",root,UpdateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,82.158.133.79
f8a982e0-3dc6-4620-b022-91a42e7c7e66,"2020-06-14, 01:55:24 PM",root,UpdateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,82.158.133.79
e0176c1f-4211-4333-bebb-be056413cd8b,"2020-06-14, 01:54:06 PM",root,GenerateServiceLastAccessedDetails,,,,us-east-1,,82.158.133.79
cfd1f9e9-2f87-49e5-b8d0-20683debb916,"2020-06-14, 01:52:54 PM",root,ConsoleLogin,,,,us-east-1,,82.158.133.79
a0d2ebed-0225-470a-8c75-cf622cae3592,"2020-06-14, 01:45:07 PM",root,ConsoleLogin,,,,us-east-1,,82.158.133.79
6edce8d3-ecb3-4f16-9f8a-682a1d694cce,"2020-06-14, 01:43:18 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,82.158.133.79
bf17befb-2771-4d85-92c9-6162c14e77ea,"2020-06-14, 01:43:18 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,82.158.133.79
edc3bbc9-8f4e-4479-816b-55a852f5a418,"2020-06-14, 01:43:18 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,82.158.133.79
68637100-a36a-450c-8171-18a611e83cfe,"2020-06-14, 01:43:17 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDATCXSBLDQR4HY2ILII""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::212034738401:user/Accountant""}]",,us-east-1,,82.158.133.79
99eb24d8-b38e-41bc-a4fe-ee36a621fc2d,"2020-06-14, 01:42:35 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,82.158.133.79
c0089264-cf3d-4b1f-83fd-564a7e8eae78,"2020-06-14, 01:42:35 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,82.158.133.79
